,average_score,first_token,group_tokens,pair_score,Need_normalize
152,0.9363039021389814,400,"('400', 'million', 'fund')",0.9437792410902256,True
316,0.8420539407309611,Dec.,"('Dec.', '8', 'before')",0.9050063365065284,True
490,0.9126095882655576,10.7,"('10.7', 'billion', 'euros')",0.9285944903255156,True
494,0.86381753842161,$,"('$', '12.7', 'billion')",0.9032494317672078,True
507,0.8863844266538938,Almost,"('Almost', '4.8', 'billion')",0.9478601567991566,True
526,0.934228341589494,690,"('690', 'million', 'euros')",0.9224438756069816,True
604,0.8985762139335525,Thai,"('Thai', 'Beverage', 'Pcl')",0.9030799703465412,True
645,0.8971447016833856,&,"('&', 'Neave', 'Ltd.')",0.9039422928295952,True
778,0.9098986349841944,retailer,"('retailer', 'Big', 'C')",0.9024452724266014,True
1395,0.9062415425035949,1,"('1', 'billion', 'from')",0.9395398396476295,True
2127,0.8612046417876661,Federal,"('Federal', 'Election', 'Commission')",0.9244480418425424,True
2338,0.9061095226518494,ruling,"('ruling', 'African', 'National')",0.9132469565391592,True
2410,0.91999733722169,National,"('National', 'Executive', 'Committee')",0.9118319820342088,True
2966,0.8895190773916892,speaker,"('speaker', 'weighs', '35')",0.9439568649139743,True
3624,0.8942211110552881,BioLite,"('BioLite', 'CampStove', '2')",0.9051825393455688,True
4115,0.8910901625890487,American,"('American', 'chicken', 'farmer')",0.9027359360332046,True
4367,0.9068320848607831,filed,"('filed', 'Dec.', '14')",0.9197755233418792,True
4466,0.7821743696862049,Democracy,"('Democracy', 'Forward', 'Foundation')",0.9034044818333116,True
5705,0.8719507517784116,Federal,"('Federal', 'Reserve', 'data')",0.9269937874177212,True
5774,0.9192789791898603,Economic,"('Economic', 'Advisers', 'under')",0.8703423991993868,True
5776,0.8565766753289175,under,"('under', 'George', 'W.')",0.9162326572946822,True
6180,0.9302102711297674,retail,"('retail', 'chains', 'including')",0.9094134495588584,True
6324,0.7686902325761084,Chase,"('Chase', '&', 'Co.')",0.9273326045756312,True
6417,0.935700171146006,12,"('12', 'billion', 'euros')",0.9434520086235808,True
6495,0.933221036354803,billion,"('billion', 'euros', 'owed')",0.9437396763177016,True
6641,0.9393877572349928,16,"('16', 'billion', 'rand')",0.9468355201336006,True
6842,0.904739567348146,2,"('2', 'billion', 'from')",0.9276173488672154,True
6888,0.9209948358498696,$,"('$', '1', 'billion')",0.91378300325253,True
6889,0.8943956414791668,1,"('1', 'billion', '.')",0.9045478193201144,True
7672,0.8370736891934563,correlation,"('correlation', 'between', 'Social')",0.9164405987607728,True
8345,0.9204655935512784,Bowling,"('Bowling', 'Green', 'State')",0.9177374987194904,True
8387,0.9187803742534976,professor,"('professor', 'Karen', 'Benjamin')",0.8078776550852301,True
8452,0.9198445680844812,previous,"('previous', 'vs.', 'current')",0.9082412155850754,True
8577,0.8858066641292539,11,"('11', 'percentage', 'points')",0.9184746111573966,True
8911,0.9200496639361416,$,"('$', '3.2', 'million')",0.8966698101795254,True
9030,0.8915907065528097,P,"('P', '500', 'Index')",0.959565588238633,True
9175,0.9196370718359668,Europe,"('Europe', '600', 'Index')",0.9215568153002472,True
